56090.8962    -1.52 0.02
56105.762      0.80 0.02
56165.7746    -2.76 0.03
56165.9388    -5.14 0.02
56166.8804    -2.60 0.03
56173.9038     8.43 0.05
56402.856      0.83 0.02
56424.8649     3.74 0.03
56444.9079    50.06 0.02
56456.9504    17.79 0.02
56537.6859    -3.85 0.03
56544.6113    -3.19 0.02
56570.7522    49.07 0.02
56598.6598    -3.0  0.04
56769.9847    27.30 0.02
56823.924     50.95 0.02
56944.6517    40.25 0.02
56946.5453    46.46 0.03
56954.5395    44.10 0.03
56958.6213    31.29 0.02
56959.689     25.64 0.02
56962.5366    20.33 0.03
