# Kepler Asteroseismic Data
# KIC number: 8430105
# Season:     Q17
# TRF:        0
# Version:    3
# Time is in truncated barycentric julian date
# Time (days), Raw Flux, Raw Flux error, Corrected Flux, Corrected Flux error
#-----------------------------------------------------------
    56393.4724711 9.28864750e+05 2.45731068e+01 9.37928938e+05 2.49097614e+01
    56393.4929055 9.28955812e+05 2.45742359e+01 9.38026375e+05 2.49073524e+01
    56393.5133397 9.29058438e+05 2.45755100e+01 9.38126125e+05 2.49103088e+01
    56393.5337738 9.28978375e+05 2.45743504e+01 9.38094188e+05 2.49080868e+01
    56393.5542081 9.28865562e+05 2.45730438e+01 9.37933688e+05 2.49091473e+01
    56393.5746424 9.29033375e+05 2.45751190e+01 9.38114812e+05 2.49107533e+01
    56393.5950765 9.29250312e+05 2.45777302e+01 9.38353000e+05 2.49159584e+01
    56393.6155108 9.29345938e+05 2.45789623e+01 9.38423438e+05 2.49130611e+01
    56393.6359450 9.29463938e+05 2.45804291e+01 9.38561500e+05 2.49181004e+01
    56393.6563792 9.29465125e+05 2.45804005e+01 9.38559125e+05 2.49184513e+01
    56393.6768135 9.29360188e+05 2.45790329e+01 9.38397438e+05 2.49169750e+01
    56393.6972477 9.29390500e+05 2.45795078e+01 9.38441875e+05 2.49188480e+01
    56393.7176820           -Inf           -Inf           -Inf           -Inf
    56393.7381161 9.29466688e+05 2.45803356e+01 9.38502938e+05 2.49157524e+01
    56393.7585504 9.29245375e+05 2.45776043e+01 9.38470062e+05 2.49172211e+01
    56393.7789847 9.29171875e+05 2.45767002e+01 9.38437062e+05 2.49117146e+01
    56393.7994188 9.29357812e+05 2.45789833e+01 9.38414062e+05 2.49162121e+01
    56393.8198530 9.29676375e+05 2.45832062e+01 9.38696438e+05 2.49200516e+01
    56393.8402874 9.30014000e+05 2.45881271e+01 9.38696000e+05 2.49227219e+01
    56393.8607215 9.30216188e+05 2.45918198e+01           -Inf           -Inf
    56393.8811558 9.30245875e+05 2.45930939e+01           -Inf           -Inf
    56393.9015900 9.30148375e+05 2.45925617e+01           -Inf           -Inf
    56393.9220242 9.30098500e+05 2.45920792e+01           -Inf           -Inf
    56393.9424585 9.29890688e+05 2.45881767e+01           -Inf           -Inf
